time,state
4384,1
4387,1
4390,1
4394,1
4397,1
4400,1
4403,1
4406,1
4410,1
4413,1
4416,1
4419,1
4422,1
4426,1
4429,1
4432,1
4435,1
4438,1
4442,1
4445,1
4448,1
4451,1
4454,1
4458,1
4461,1
4464,1
4467,1
4470,1
4474,1
4477,1
4480,1
4483,1
4486,1
4490,1
4493,1
4496,1
4499,1
4502,1
4506,1
4509,1
4512,0
4515,0
4518,0
4522,0
4525,0
4531,0
4534,0
4538,0
4541,0
4544,0
4547,0
4550,0
4554,0
4557,0
4560,0
4563,0
4567,0
4570,0
4573,0
4576,0
4579,0
4582,0
4586,0
4589,0
4592,0
4595,0
4598,0
4602,0
4605,0
4608,0
4611,0
4614,0
4618,0
4621,0
4624,0
4627,0
4630,0
4634,0
4637,0
4640,0
4643,0
4646,0
4650,0
4653,0
4656,0
4659,0
4662,0
4666,0
4669,0
4672,0
4675,0
4678,0
4682,0
4685,0
4688,0
4691,0
4694,0
4698,0
4701,0
4704,0
4707,0
4710,0
4714,0
4717,0
4720,0
4723,0
4726,0
4729,0
4733,0
4736,0
4739,0
4742,0
4745,0
4749,0
4752,0
4755,0
4758,0
4761,0
4765,0
4768,0
4771,0
4774,0
4777,0
4781,0
4784,0
4787,0
4790,0
4793,0
4797,0
4800,0
4803,0
4806,0
4809,0
4813,0
4816,0
4819,0
4822,0
4825,0
4829,0
4832,0
4835,0
4838,0
4841,0
4845,0
4848,0
4851,0
4854,0
4857,0
4861,0
4864,0
4867,0
4870,0
4873,0
4877,1
4880,1
4883,1
4886,1
4889,1
4893,1
4896,1
4899,1
4902,1
4905,1
4908,1
4912,1
4915,1
4918,1
4921,1
4925,1
4928,1
4931,1
4934,1
4937,1
4940,1
4944,1
4947,1
4950,1
4953,1
4956,1
4960,1
4963,1
4966,1
4969,1
4972,1
4976,1
4979,1
4982,1
4985,1
4988,1
4992,1
4995,1
5001,1
5004,1
5008,1
5011,1
5014,1
5017,1
5021,1
5024,1
5027,1
5030,1
5033,1
5037,1
5040,1
5043,1
5046,1
5049,1
5053,1
5056,1
5059,1
5062,1
5065,1
5069,1
5072,1
5075,1
5078,1
5081,1
5085,1
5088,1
5091,1
5094,1
5097,1
5101,1
5104,1
5107,1
5110,1
5113,1
5117,1
5120,1
5123,1
5126,1
5129,1
5133,1
5136,1
5139,1
5142,1
5145,1
5149,1
5152,1
5155,1
5158,1
5161,1
5165,1
5168,1
5171,1
5174,1
5177,1
5181,1
5191,1
5195,1
5198,1
5201,1
5204,1
5207,1
5211,1
5214,1
5217,1
5220,1
5223,1
5227,1
5230,1
5233,1
5236,1
5239,1
5243,1
5246,1
5249,1
5252,1
5255,1
5259,1
5262,1
5265,1
5268,1
5271,1
5275,1
5278,1
5281,1
5284,1
5287,1
5291,1
5294,1
5297,1
5300,1
5303,1
5307,1
5310,1
5313,1
5316,1
5319,1
5322,1
5326,1
5329,1
5332,1
5335,1
5338,1
5342,1
5345,1
5348,1
5351,1
5354,1
5358,1
5361,1
5364,1
5367,1
5370,1
5374,1
5377,1
5380,1
5383,1
5386,1
5390,1
5393,1
5396,1
5399,1
5402,1
5406,1
5409,1
5412,1
5415,1
5418,1
5422,1
5425,1
5428,1
5431,1
5434,1
5438,1
5441,1
5444,1
5447,1
5450,1
5454,1
5457,1
5460,1
